epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.60079,0.93654,3.05021,0.98238,0.01667,1,0.02081,0.01735,0.56708,3.02581,0.82833,6e-05,6e-05,6e-05
2,4.0522,0.87455,2.9272,0.97422,0.01667,1,0.04602,0.04151,0.43008,3.00161,0.80577,0.000139861,0.000139861,0.000139861
3,5.53372,0.88605,2.68926,0.97731,0.01667,1,0.98667,0.85277,0.4939,2.71795,0.79884,0.000219564,0.000219564,0.000219564
4,6.88614,0.79241,1.97665,0.89801,0.01667,1,0.995,0.73334,0.77078,2.67879,0.82962,0.000299109,0.000299109,0.000299109
5,8.21788,0.84301,1.40252,0.92127,0.01667,1,0.98591,0.72849,0.81665,2.59786,0.84597,0.000378495,0.000378495,0.000378495
6,9.59075,0.83412,1.09544,0.93767,0.01667,1,0.995,0.76782,0.74273,2.53207,0.82771,0.000457723,0.000457723,0.000457723
7,10.9104,0.78725,0.95539,0.94514,0.01667,1,0.995,0.73455,0.73104,2.48726,0.82513,0.000536792,0.000536792,0.000536792
8,12.2228,0.80838,0.89501,0.95144,0.01667,1,0.995,0.72857,0.70661,2.41069,0.82229,0.000615703,0.000615703,0.000615703
9,13.5435,0.77984,0.8784,0.95494,0.03288,1,0.995,0.69834,0.75394,2.37627,0.82966,0.000694456,0.000694456,0.000694456
10,15.0397,0.7698,0.93545,0.95589,0.01667,1,0.995,0.74197,0.74281,2.50606,0.82383,0.00077305,0.00077305,0.00077305
11,16.3617,0.80352,0.93782,0.95945,0.01667,1,0.98667,0.74214,0.70316,2.46659,0.82544,0.000851486,0.000851486,0.000851486
12,17.6422,0.81935,0.88506,0.97092,0.01667,1,0.79251,0.44305,0.7219,2.6928,0.83828,0.000929763,0.000929763,0.000929763
13,19.0347,0.7467,0.79232,0.94025,0.01667,1,0.96167,0.69952,0.57623,2.49739,0.80503,0.00100788,0.00100788,0.00100788
14,20.3432,0.78374,0.82133,0.96319,0.03178,1,0.99024,0.78192,0.58519,2.37966,0.80174,0.00108584,0.00108584,0.00108584
15,21.6955,0.77673,0.82179,0.94166,1,0.3183,0.995,0.85676,0.66169,2.13047,0.80074,0.00116365,0.00116365,0.00116365
16,23.1109,0.76988,0.77924,0.92348,1,0.8756,0.995,0.84033,0.63843,2.05739,0.80107,0.00124129,0.00124129,0.00124129
17,24.4062,0.79026,0.78222,0.96833,1,0.8946,0.995,0.85736,0.59421,1.87751,0.7968,0.00131877,0.00131877,0.00131877
18,25.8136,0.80455,0.74401,0.93957,0.98203,1,0.995,0.86431,0.56288,1.50188,0.81555,0.0013961,0.0013961,0.0013961
19,27.1212,0.7865,0.78881,0.96845,0.99339,1,0.995,0.8368,0.68984,1.49775,0.83128,0.00147327,0.00147327,0.00147327
20,28.4671,0.79106,0.75539,0.94055,0.99714,1,0.995,0.8757,0.58972,1.45249,0.81809,0.00155028,0.00155028,0.00155028
21,29.8126,0.76008,0.81984,0.93567,0.99359,1,0.995,0.84951,0.61423,1.34112,0.82753,0.00162713,0.00162713,0.00162713
22,31.1399,0.68498,0.71835,0.92564,0.99031,1,0.995,0.87082,0.56146,1.2984,0.80869,0.00170383,0.00170383,0.00170383
23,32.4559,0.70094,0.66946,0.9186,0.99301,1,0.995,0.85776,0.50516,1.17223,0.79646,0.00178036,0.00178036,0.00178036
24,33.7705,0.68114,0.6851,0.94181,0.99669,1,0.995,0.87425,0.56805,0.89281,0.80166,0.00185674,0.00185674,0.00185674
25,35.1072,0.73359,0.68331,0.926,0.99699,1,0.995,0.83344,0.67622,0.73926,0.82498,0.00193296,0.00193296,0.00193296
26,36.4456,0.71625,0.67253,0.90982,0.9973,1,0.995,0.86666,0.57646,0.62781,0.8102,0.0019505,0.0019505,0.0019505
27,37.7433,0.68815,0.65669,0.89597,0.99718,1,0.995,0.87257,0.56661,0.61286,0.80374,0.00194852,0.00194852,0.00194852
28,39.1136,0.70428,0.66616,0.8922,0.99699,1,0.995,0.86733,0.58211,0.5597,0.79891,0.00194654,0.00194654,0.00194654
29,40.4587,0.67811,0.61756,0.90316,0.99658,1,0.995,0.86924,0.54302,0.56945,0.79741,0.00194456,0.00194456,0.00194456
30,41.8003,0.64969,0.64519,0.89052,0.99637,1,0.995,0.8618,0.58069,0.61092,0.79733,0.00194258,0.00194258,0.00194258
31,43.1298,0.65907,0.66075,0.92354,0.99675,1,0.995,0.85307,0.58809,0.5935,0.80231,0.0019406,0.0019406,0.0019406
32,44.4828,0.71849,0.66018,0.91874,0.99707,1,0.995,0.84373,0.63876,0.59185,0.83025,0.00193862,0.00193862,0.00193862
33,45.8645,0.76491,0.64838,0.93581,0.99728,1,0.995,0.87818,0.52211,0.5129,0.80229,0.00193664,0.00193664,0.00193664
34,47.2696,0.66598,0.6111,0.90007,0.997,1,0.995,0.8846,0.53946,0.49702,0.80823,0.00193466,0.00193466,0.00193466
35,48.6074,0.65667,0.62723,0.89604,0.99683,1,0.995,0.90374,0.49829,0.51716,0.80208,0.00193268,0.00193268,0.00193268
36,50.0087,0.69918,0.61471,0.9221,0.99636,1,0.995,0.91513,0.52751,0.52472,0.80254,0.0019307,0.0019307,0.0019307
37,51.3235,0.63076,0.58498,0.88237,0.94303,0.8,0.95288,0.83347,0.55953,0.91297,0.81843,0.00192872,0.00192872,0.00192872
38,52.6845,0.6372,0.57594,0.90927,0.89698,0.85,0.92856,0.79965,0.69634,1.08982,0.86719,0.00192674,0.00192674,0.00192674
39,54.0443,0.66022,0.56752,0.88887,1,0.99859,0.995,0.83622,0.62896,0.59245,0.82917,0.00192476,0.00192476,0.00192476
40,55.3955,0.63851,0.53896,0.90079,0.99742,1,0.995,0.86826,0.55729,0.44803,0.81718,0.00192278,0.00192278,0.00192278
41,56.8316,0.63546,0.52485,0.89402,0.99743,1,0.995,0.89524,0.49451,0.40957,0.79822,0.0019208,0.0019208,0.0019208
