epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.395,1.59055,3.79555,1.38693,0.00644,0.42857,0.00652,0.00494,0.93247,3.42991,0.93509,6.668e-05,6.668e-05,6.668e-05
2,24.1112,1.58651,3.58178,1.26546,0.00745,0.46429,0.25925,0.1838,0.82313,3.34759,0.86709,0.000135177,0.000135177,0.000135177
3,25.7717,1.52919,2.92319,1.13165,0.00986,0.5,0.45639,0.35744,1.04115,3.12686,0.86703,0.000187171,0.000187171,0.000187171
4,27.4028,1.70345,2.50459,1.08047,0.01094,0.5,0.48083,0.37141,1.04391,3.10241,0.8598,0.000222661,0.000222661,0.000222661
5,29.0462,1.64575,2.18954,1.16023,0.0125,0.5,0.46413,0.35069,1.06034,3.0377,0.86693,0.000241648,0.000241648,0.000241648
6,30.59,1.58361,2.00262,1.08148,0.01406,0.5,0.46322,0.37503,1.05284,2.97428,0.85962,0.000244132,0.000244132,0.000244132
7,32.2686,1.64046,1.9079,1.1439,0.01148,0.5,0.45599,0.34373,1.04487,2.97706,0.86445,0.000230113,0.000230113,0.000230113
8,33.9163,1.52666,1.69552,1.08668,0.01039,0.5,0.45355,0.3389,1.05169,2.90804,0.8619,0.00019959,0.00019959,0.00019959
9,35.5446,1.51268,1.76669,1.04649,0.01094,0.5,0.48472,0.38551,1.09562,2.77524,0.86786,0.000152564,0.000152564,0.000152564
10,37.1374,1.47359,1.58265,1.08806,0.01246,0.5,0.48472,0.37587,1.15346,2.68077,0.87092,8.90345e-05,8.90345e-05,8.90345e-05
