epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.16473,1.57125,3.74307,1.26906,0.0064,0.42857,0.00641,0.00487,0.83706,3.41749,0.90339,6.668e-05,6.668e-05,6.668e-05
2,3.8733,1.68099,3.86998,1.3585,0.00846,0.5,0.01882,0.01347,0.97149,3.4149,0.90612,0.000148545,0.000148545,0.000148545
3,5.56976,1.55836,2.92461,1.12225,0.0073,0.5,0.44438,0.27608,1.02031,3.18612,0.84159,0.000228759,0.000228759,0.000228759
4,7.12082,1.57618,2.33957,1.10676,0.00744,0.5,0.49283,0.34443,1.03416,3.05045,0.84613,0.000307323,0.000307323,0.000307323
5,8.65813,1.63583,2.06135,1.11357,0.00843,0.5,0.49283,0.28407,1.23953,2.96963,0.90829,0.000384237,0.000384237,0.000384237
6,10.2209,1.61115,1.8549,1.0877,0.00844,0.5,0.46265,0.24274,1.10516,3.01043,0.89033,0.0004595,0.0004595,0.0004595
7,11.8352,1.68334,1.82863,1.17809,0.0078,0.5,0.36799,0.18694,1.11889,3.05824,0.89464,0.000533113,0.000533113,0.000533113
8,13.373,1.54403,1.54626,1.09681,0.00773,0.5,0.41861,0.18557,1.18756,2.99804,0.90693,0.000605076,0.000605076,0.000605076
9,14.9944,1.5131,1.62617,1.11011,0.00783,0.5,0.4604,0.29556,1.08391,2.97165,0.87969,0.000675388,0.000675388,0.000675388
10,16.5854,1.59416,1.60908,1.18259,0.00791,0.5,0.47324,0.32134,1.16261,2.8221,0.8985,0.00074405,0.00074405,0.00074405
11,18.1803,1.59541,1.61019,1.17912,0.00881,0.5,0.49063,0.26446,1.27901,2.8318,0.95971,0.000811062,0.000811062,0.000811062
12,19.7766,1.6022,1.65464,1.17719,0.00926,0.5,0.29508,0.16437,1.08327,2.97778,0.90006,0.000876424,0.000876424,0.000876424
13,21.335,1.54233,1.62462,1.17928,0.0099,0.5,0.39976,0.24676,1.01621,2.75593,0.9027,0.000940135,0.000940135,0.000940135
14,22.9738,1.5562,1.45297,1.17152,0.00982,0.53571,0.43326,0.33273,1.09166,2.44057,0.92102,0.0010022,0.0010022,0.0010022
15,24.5465,1.44756,1.46324,1.14707,0.77253,0.5,0.46956,0.37023,1.14271,2.31311,0.91976,0.00106261,0.00106261,0.00106261
16,26.103,1.60011,1.42432,1.18609,0.91659,0.21429,0.42428,0.32891,1.11725,2.42257,0.91378,0.00112137,0.00112137,0.00112137
17,27.6783,1.55828,1.35895,1.1109,0.91417,0.17322,0.3589,0.26189,1.20214,2.34672,0.94669,0.00117848,0.00117848,0.00117848
18,29.2404,1.50216,1.39163,1.10946,0.77258,0.21406,0.20091,0.1112,1.59173,2.61054,1.05409,0.00123394,0.00123394,0.00123394
19,30.8014,1.60234,1.37271,1.15288,0.55677,0.03571,0.09067,0.02855,2.28588,2.82039,1.30234,0.00128774,0.00128774,0.00128774
20,32.4341,1.56308,1.39408,1.16266,1,0.18737,0.60442,0.32895,1.23113,2.17804,0.95106,0.0013399,0.0013399,0.0013399
21,34.0126,1.50863,1.30196,1.1457,1,0.15524,0.42782,0.21999,1.50811,2.50464,1.00398,0.00133693,0.00133693,0.00133693
22,35.6642,1.62343,1.3783,1.20576,1,0.32069,0.63232,0.41501,1.12483,2.04968,0.91194,0.00132043,0.00132043,0.00132043
23,37.2498,1.52666,1.27714,1.13344,0.99896,0.5638,0.78769,0.43858,1.42671,1.44442,1.01888,0.00130393,0.00130393,0.00130393
24,38.9258,1.55179,1.24174,1.15216,0.83761,0.64286,0.83875,0.42642,1.3854,1.1241,1.00352,0.00128742,0.00128742,0.00128742
25,40.5286,1.42169,1.28689,1.14192,0.85928,0.56475,0.87665,0.48114,1.19343,1.02061,0.94976,0.00127092,0.00127092,0.00127092
26,42.1297,1.50075,1.19633,1.10515,0.86745,0.54117,0.8349,0.42021,1.33614,0.99479,0.98799,0.00125442,0.00125442,0.00125442
27,43.702,1.37764,1.13118,1.08011,0.66699,0.59384,0.76917,0.43503,1.3089,0.94602,0.97191,0.00123791,0.00123791,0.00123791
28,45.3433,1.39632,1.16925,1.09494,0.82628,0.73648,0.82305,0.52615,0.97554,0.81708,0.88373,0.00122141,0.00122141,0.00122141
29,46.962,1.40787,1.11337,1.09446,0.71295,0.78571,0.83583,0.48372,1.10038,0.80906,0.90828,0.00120491,0.00120491,0.00120491
30,48.641,1.47173,1.15995,1.12439,0.77525,0.75,0.81723,0.47703,1.12568,0.82052,0.91848,0.0011884,0.0011884,0.0011884
31,52.0317,1.42471,1.12951,1.09425,0.87977,0.75,0.74048,0.46147,1.01319,0.86965,0.90402,0.0011719,0.0011719,0.0011719
32,53.6397,1.37797,1.09152,1.06368,0.66589,0.71429,0.72829,0.45595,0.96717,0.9178,0.87985,0.0011554,0.0011554,0.0011554
33,55.2013,1.37076,1.15407,1.09588,0.5872,0.75,0.73896,0.47508,0.88975,0.86152,0.86456,0.00113889,0.00113889,0.00113889
