epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,226.942,1.00138,1.01765,1.00088,0.94816,0.77165,0.82929,0.69089,0.94621,0.76509,0.93068,0.00095941,0.00095941,0.00095941
43,232.231,0.92192,0.90595,0.96937,0.96134,0.80305,0.82917,0.70262,0.95129,0.81011,0.92496,0.00095842,0.00095842,0.00095842
44,237.518,1.07816,1.14036,1.02789,0.94129,0.77685,0.81435,0.71059,0.92474,0.99678,0.93574,0.00095743,0.00095743,0.00095743
45,242.825,0.92788,0.82497,0.97369,0.94334,0.8,0.80096,0.67479,0.98448,0.84395,0.95809,0.00095644,0.00095644,0.00095644
46,248.093,0.93385,0.85408,0.97934,0.91831,0.73424,0.78343,0.63375,1.00046,0.93003,1.01102,0.00095545,0.00095545,0.00095545
47,253.402,0.94745,0.85448,0.98178,0.68965,0.59729,0.56053,0.47817,0.89,1.38223,0.94312,0.00095446,0.00095446,0.00095446
48,258.681,1.02196,0.91121,0.992,0.78911,0.72651,0.73471,0.61352,0.99137,1.18493,0.9471,0.00095347,0.00095347,0.00095347
49,264.032,0.97316,0.8475,0.99226,0.97825,0.8,0.81779,0.67433,1.01696,0.76355,0.97227,0.00095248,0.00095248,0.00095248
50,269.331,0.95045,0.83324,0.96569,0.94696,0.80343,0.81303,0.65662,1.05703,0.81228,0.9703,0.00095149,0.00095149,0.00095149
51,274.666,0.97938,0.79081,0.98633,0.96303,0.80994,0.83006,0.69679,0.97275,0.734,0.93738,0.0009505,0.0009505,0.0009505
52,280.118,0.98767,0.82382,0.98199,0.93938,0.81256,0.82954,0.66761,1.04413,0.71411,0.96507,0.00094951,0.00094951,0.00094951
53,285.341,0.96626,0.84292,0.98625,0.69504,0.66908,0.75882,0.61824,0.98013,1.08779,0.97962,0.00094852,0.00094852,0.00094852
54,290.956,0.9435,0.79263,0.98059,0.88051,0.8,0.80694,0.69823,0.87871,0.90732,0.92093,0.00094753,0.00094753,0.00094753
55,296.312,0.94477,0.78837,0.96596,0.95512,0.79246,0.80774,0.69213,0.94863,0.86502,0.95011,0.00094654,0.00094654,0.00094654
56,301.843,1.02399,0.95613,1.00442,0.98094,0.8,0.81964,0.68278,1.06501,0.7984,0.9901,0.00094555,0.00094555,0.00094555
57,307.752,0.91778,0.79418,0.96124,0.93315,0.82593,0.82997,0.68481,1.03471,0.79838,1.0072,0.00094456,0.00094456,0.00094456
58,313.637,0.91221,0.79744,0.96477,0.98157,0.82592,0.82917,0.70622,0.98935,0.74229,0.99813,0.00094357,0.00094357,0.00094357
59,319.602,0.93151,0.82014,0.96903,0.89589,0.74645,0.79117,0.6726,0.90438,0.79819,0.9251,0.00094258,0.00094258,0.00094258
60,325.587,0.88,0.84712,0.9233,0.90929,0.80701,0.77722,0.62859,0.97838,0.76673,0.94522,0.00094159,0.00094159,0.00094159
61,331.072,0.92036,0.75465,0.97923,0.79752,0.79134,0.75054,0.63657,0.97877,1.08543,0.94472,0.0009406,0.0009406,0.0009406
62,336.792,1.00621,0.97172,0.99755,0.66691,0.70371,0.72915,0.61971,0.95872,1.3119,0.93401,0.00093961,0.00093961,0.00093961
63,342.549,0.89172,0.77014,0.96272,0.81113,0.82929,0.81632,0.65728,0.99542,0.94546,0.93623,0.00093862,0.00093862,0.00093862
64,348.311,0.95064,0.83198,0.98119,0.8896,0.66513,0.75678,0.62855,1.09782,1.21925,0.96835,0.00093763,0.00093763,0.00093763
65,354.241,0.92572,0.7698,0.96924,0.41565,0.83333,0.74143,0.64574,0.95209,1.07407,0.94431,0.00093664,0.00093664,0.00093664
66,360.683,0.88482,0.75589,0.96376,0.97436,0.818,0.83054,0.71097,0.97091,0.66883,0.92561,0.00093565,0.00093565,0.00093565
67,367.023,0.92614,0.81985,0.96372,0.96965,0.8,0.81136,0.68586,0.97437,0.76186,0.94674,0.00093466,0.00093466,0.00093466
68,372.774,0.89139,0.75262,0.95789,0.96839,0.81933,0.82992,0.68778,1.02072,0.65846,0.94593,0.00093367,0.00093367,0.00093367
69,378.686,0.8847,0.72479,0.95062,0.83158,0.79636,0.80186,0.67215,0.98075,0.77634,0.9292,0.00093268,0.00093268,0.00093268
70,384.482,0.88202,0.72667,0.95131,0.9615,0.81147,0.82998,0.70651,0.965,0.68477,0.91739,0.00093169,0.00093169,0.00093169
71,390.282,0.9136,0.72085,1.00446,0.86441,0.8,0.81435,0.65362,1.03277,0.84816,0.96028,0.0009307,0.0009307,0.0009307
72,395.761,0.91,0.73493,0.96974,0.89746,0.8,0.76798,0.63614,0.97143,0.83864,0.95856,0.00092971,0.00092971,0.00092971
73,401.462,0.91905,0.70214,0.96916,0.94105,0.79576,0.8215,0.69682,0.94287,0.72235,0.92065,0.00092872,0.00092872,0.00092872
74,407.122,0.9172,0.71767,0.96266,0.96424,0.8,0.82458,0.69048,0.98235,0.79729,0.93602,0.00092773,0.00092773,0.00092773
75,412.531,0.91676,0.69453,0.96764,0.97184,0.80399,0.83038,0.68837,0.97121,0.72911,0.92575,0.00092674,0.00092674,0.00092674
76,418.202,0.93201,0.75512,0.959,0.98559,0.8055,0.83029,0.67939,1.06359,0.71997,0.95752,0.00092575,0.00092575,0.00092575
77,423.651,0.86123,0.73088,0.91571,0.97697,0.8127,0.83039,0.70066,0.97058,0.74258,0.93769,0.00092476,0.00092476,0.00092476
78,429.181,0.8815,0.68863,0.95207,0.98412,0.80676,0.83021,0.71691,0.95015,0.70825,0.91007,0.00092377,0.00092377,0.00092377
79,434.592,0.86758,0.67171,0.94374,0.94869,0.80684,0.82959,0.70504,0.86496,0.66541,0.91828,0.00092278,0.00092278,0.00092278
80,440.047,0.96648,0.7787,0.9718,0.93546,0.82237,0.83061,0.69708,1.0203,0.69585,0.97221,0.00092179,0.00092179,0.00092179
81,445.451,0.87965,0.70206,0.95061,0.93158,0.82177,0.82948,0.70361,0.96973,0.69405,0.93395,0.0009208,0.0009208,0.0009208
82,450.972,0.91343,0.73232,0.95497,0.92217,0.80734,0.83007,0.67435,0.99966,0.74469,0.96454,0.00091981,0.00091981,0.00091981
83,456.442,0.98778,0.90613,1.01012,0.94213,0.80527,0.81609,0.69788,0.88649,0.7459,0.92722,0.00091882,0.00091882,0.00091882
