epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.22812,1.57125,3.74307,1.26906,0.0064,0.42857,0.00641,0.00487,0.83706,3.41749,0.90339,6.668e-05,6.668e-05,6.668e-05
2,3.81371,1.68099,3.86998,1.3585,0.00846,0.5,0.01882,0.01347,0.97149,3.4149,0.90612,0.000148545,0.000148545,0.000148545
3,5.52928,1.55836,2.92461,1.12225,0.0073,0.5,0.44438,0.27608,1.02031,3.18612,0.84159,0.000228759,0.000228759,0.000228759
4,7.23268,1.57618,2.33957,1.10676,0.00744,0.5,0.49283,0.34443,1.03416,3.05045,0.84613,0.000307323,0.000307323,0.000307323
5,8.97388,1.63583,2.06135,1.11357,0.00843,0.5,0.49283,0.28407,1.23953,2.96963,0.90829,0.000384237,0.000384237,0.000384237
6,10.53,1.61115,1.8549,1.0877,0.00844,0.5,0.46265,0.24274,1.10516,3.01043,0.89033,0.0004595,0.0004595,0.0004595
7,12.1392,1.68334,1.82863,1.17809,0.0078,0.5,0.36799,0.18694,1.11889,3.05824,0.89464,0.000533113,0.000533113,0.000533113
8,13.7712,1.54403,1.54626,1.09681,0.00773,0.5,0.41861,0.18557,1.18756,2.99804,0.90693,0.000605076,0.000605076,0.000605076
9,15.4157,1.5131,1.62617,1.11011,0.00783,0.5,0.4604,0.29556,1.08391,2.97165,0.87969,0.000675388,0.000675388,0.000675388
10,17.0159,1.59416,1.60908,1.18259,0.00791,0.5,0.47324,0.32134,1.16261,2.8221,0.8985,0.00074405,0.00074405,0.00074405
11,18.5764,1.59541,1.61019,1.17912,0.00881,0.5,0.49063,0.26446,1.27901,2.8318,0.95971,0.000811062,0.000811062,0.000811062
12,20.1493,1.6022,1.65464,1.17719,0.00926,0.5,0.29508,0.16437,1.08327,2.97778,0.90006,0.000876424,0.000876424,0.000876424
13,21.7227,1.54233,1.62462,1.17928,0.0099,0.5,0.39976,0.24676,1.01621,2.75593,0.9027,0.000940135,0.000940135,0.000940135
14,23.4108,1.5562,1.45297,1.17152,0.00982,0.53571,0.43326,0.33273,1.09166,2.44057,0.92102,0.0010022,0.0010022,0.0010022
15,25.0976,1.44756,1.46324,1.14707,0.77253,0.5,0.46956,0.37023,1.14271,2.31311,0.91976,0.00106261,0.00106261,0.00106261
16,26.7325,1.60011,1.42432,1.18609,0.91659,0.21429,0.42428,0.32891,1.11725,2.42257,0.91378,0.00112137,0.00112137,0.00112137
17,28.3774,1.55828,1.35895,1.1109,0.91417,0.17322,0.3589,0.26189,1.20214,2.34672,0.94669,0.00117848,0.00117848,0.00117848
18,29.9868,1.50216,1.39163,1.10946,0.77258,0.21406,0.20091,0.1112,1.59173,2.61054,1.05409,0.00123394,0.00123394,0.00123394
19,31.6614,1.60234,1.37271,1.15288,0.55677,0.03571,0.09067,0.02855,2.28588,2.82039,1.30234,0.00128774,0.00128774,0.00128774
20,33.399,1.56308,1.39408,1.16266,1,0.18737,0.60442,0.32895,1.23113,2.17804,0.95106,0.0013399,0.0013399,0.0013399
21,34.9292,1.50863,1.30196,1.1457,1,0.15524,0.42782,0.21999,1.50811,2.50464,1.00398,0.00133693,0.00133693,0.00133693
